#downloadDate:20230906074113
#numberOfSitesDownloaded:3
#emailforSitePIs:damien.bonal@inra.fr, mgoulden@uci.edu, saleska@email.arizona.edu
#dataFiles
SITE_ID,filename,start_year,end_year,version,filetype,timestamp 
AA-Flx,FLX_AA-Flx_BIF_ALL_20200501.zip,,,20200501,BADM,202005012359
BR-Sa1,FLX_BR-Sa1_FLUXNET2015_AUXMETEO_2002-2011_1-4.csv,2002,2011,1-4,AUX,202001280130
BR-Sa1,FLX_BR-Sa1_FLUXNET2015_AUXNEE_2002-2011_1-4.csv,2002,2011,1-4,AUX,202001280130
BR-Sa1,FLX_BR-Sa1_FLUXNET2015_SUBSET_DD_2002-2011_1-4.csv,2002,2011,1-4,FLUX-MET,202001280131
BR-Sa1,FLX_BR-Sa1_FLUXNET2015_SUBSET_HR_2002-2011_1-4.csv,2002,2011,1-4,FLUX-MET,202001280131
BR-Sa1,FLX_BR-Sa1_FLUXNET2015_SUBSET_MM_2002-2011_1-4.csv,2002,2011,1-4,FLUX-MET,202001280131
BR-Sa1,FLX_BR-Sa1_FLUXNET2015_SUBSET_WW_2002-2011_1-4.csv,2002,2011,1-4,FLUX-MET,202001280131
BR-Sa1,FLX_BR-Sa1_FLUXNET2015_SUBSET_YY_2002-2011_1-4.csv,2002,2011,1-4,FLUX-MET,202001280131
BR-Sa3,FLX_BR-Sa3_FLUXNET2015_AUXMETEO_2000-2004_1-4.csv,2000,2004,1-4,AUX,202001280131
BR-Sa3,FLX_BR-Sa3_FLUXNET2015_AUXNEE_2000-2004_1-4.csv,2000,2004,1-4,AUX,202001280131
BR-Sa3,FLX_BR-Sa3_FLUXNET2015_SUBSET_DD_2000-2004_1-4.csv,2000,2004,1-4,FLUX-MET,202001280132
BR-Sa3,FLX_BR-Sa3_FLUXNET2015_SUBSET_HH_2000-2004_1-4.csv,2000,2004,1-4,FLUX-MET,202001280132
BR-Sa3,FLX_BR-Sa3_FLUXNET2015_SUBSET_MM_2000-2004_1-4.csv,2000,2004,1-4,FLUX-MET,202001280132
BR-Sa3,FLX_BR-Sa3_FLUXNET2015_SUBSET_WW_2000-2004_1-4.csv,2000,2004,1-4,FLUX-MET,202001280132
BR-Sa3,FLX_BR-Sa3_FLUXNET2015_SUBSET_YY_2000-2004_1-4.csv,2000,2004,1-4,FLUX-MET,202001280132
GF-Guy,FLX_GF-Guy_FLUXNET2015_AUXMETEO_2004-2014_2-4.csv,2004,2014,2-4,AUX,202001280420
GF-Guy,FLX_GF-Guy_FLUXNET2015_AUXNEE_2004-2014_2-4.csv,2004,2014,2-4,AUX,202001280420
GF-Guy,FLX_GF-Guy_FLUXNET2015_SUBSET_DD_2004-2014_2-4.csv,2004,2014,2-4,FLUX-MET,202001280422
GF-Guy,FLX_GF-Guy_FLUXNET2015_SUBSET_HH_2004-2014_2-4.csv,2004,2014,2-4,FLUX-MET,202001280422
GF-Guy,FLX_GF-Guy_FLUXNET2015_SUBSET_MM_2004-2014_2-4.csv,2004,2014,2-4,FLUX-MET,202001280422
GF-Guy,FLX_GF-Guy_FLUXNET2015_SUBSET_WW_2004-2014_2-4.csv,2004,2014,2-4,FLUX-MET,202001280422
GF-Guy,FLX_GF-Guy_FLUXNET2015_SUBSET_YY_2004-2014_2-4.csv,2004,2014,2-4,FLUX-MET,202001280422

